Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-06-06,0.0048853284,0.0048853284,0.001029433,0.0063773552,0.0025889066,0.0016693212,0.0012557654,0.0043566148,0.0119800474,0.0104870507,0.0054524485
2016-06-07,0.0012886158,0.0012886158,-0.0005718828,0.0023060618,-0.000502264,0.0007320661,-0.0006906014,-0.0003099041,-0.0009860172,-3.14768403769E-05,-0.0003091004
2016-06-08,0.0033041018,0.0033041018,0.0031877735,0.0038915682,0.0061810557,-0.0010133032,-0.0006906029,-0.000309902,0.0026373249,0.0003788583,9.91644337773E-05
2016-06-09,-0.0017192357,-0.0017192357,0.0004684019,-0.0015336634,-0.000502264,-0.0038682017,-0.0005873207,-0.0003099063,-0.0009860172,-0.005222138,-0.0030767433
2016-06-10,-0.0092175324,-0.0092175324,-0.0034443545,0.0001593023,-0.0005022658,-0.0012690034,-0.0006906013,-0.000309902,0.0097307917,0.0108594485,0.0078120553
2016-06-13,-0.0081482984,-0.0081482984,-0.0033384028,-0.002073538,-0.0005022658,-0.0032734033,-0.0006906013,-0.0003099063,-0.0009860172,-0.0009196009,-0.0050804857
2016-06-14,-0.0018005054,-0.0018005054,0.0015886726,0.0015793368,0.0001512655,0.0012224037,-0.0002821627,-0.0003099063,-0.0009860172,-0.0010908376,0.0012153802
2016-06-15,-0.0018424089,-0.0018424089,0.000624466,0.0029721279,-0.000502264,0.00245828,0.0007902973,-0.0003099042,0.0012307051,0.0024477616,-0.0018193033
2016-06-16,0.003128093,0.003128093,0.0080602756,0.0071684332,0.0043358486,0.0049578603,0.0025611483,-0.0003099042,-0.0009860159,-0.0018595029,0.0012035687
2016-06-17,-0.0032632839,-0.0032632839,-0.0009735795,-0.0007905285,-0.000502264,-0.002648795,-0.0006906013,-0.000309902,0.0044354834,-0.0022904389,-0.0050360709
2016-06-20,0.0057913826,0.0057913826,0.0036277871,0.0051838215,0.0021171097,0.0020389175,0.0031632129,0.0016084742,0.0057160244,0.0069601368,0.0071196025
2016-06-21,0.0027083904,0.0027083904,0.0043383911,0.0054440703,-0.0005022658,0.0022073397,0.0005556649,-0.000309902,0.0009641792,-0.0011442248,0.0005631638
2016-06-22,-0.0016529289,-0.0016529289,0.0016610574,0.0005799043,-0.000502264,0.0016340325,-0.0001530343,-0.0003099042,0.0010813067,0.0004058797,-9.6945092082E-05
2016-06-23,0.013275567,0.013275567,0.011859349,0.0119290538,0.0171935968,0.0148089034,0.0126933903,0.0180071928,0.0098733753,0.0123045035,0.0143877678
2016-06-24,-0.0365807927,0.01,0.0109893233,0.0051679942,-0.0005022649,0.0162995774,-0.0006906014,-0.0003099063,0.0318680406,0.0197908357,0.0078120572
2016-06-27,-0.0182622465,0.01,-0.0022704017,2.37594358623E-05,-0.0005022621,0.011259051,-0.0006906014,-0.0003099042,0.0175828692,0.0119322371,0.0078120548
